"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CUI_PURCHASE_URL";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"PACKAGE";"PRICE";
"C1";"0.1UF_0805_CERAMIC_CAP";"0.1UF_0805_CERAMIC_CAP";"C0805K";"";"";"";"";"";"";"";"";"";"";
"C2";"10UF_10PC_CL21A106KQCLRNC";"10UF_10PC_CL21A106KQCLRNC";"C0805K";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1UF_0805_CERAMIC_CAP";"0.1UF_0805_CERAMIC_CAP";"C0805K";"";"";"";"";"";"";"";"";"";"";
"C4";"0.1UF_0805_CERAMIC_CAP";"0.1UF_0805_CERAMIC_CAP";"C0805K";"";"";"";"";"";"";"";"";"";"";
"C5";"0.33UF_CERAMIC_CAP";"0.33UF_CERAMIC_CAP";"CAPC3216X110N";"";"";"";"";"";"";"";"";"";"";
"C6";"PCX1V100MCL1GS";"PCX1V100MCL1GS";"CAPAE660X600N";"";"";"";"";"";"";"";"";"";"";
"D1";"LTST-C155GEKT";"LTST-C155GEKT";"LED_LTST-C155GEKT";"Green/Red 3.2 x 2.7 x 1.1 mm 130° Clear 6 / 2.5 mcd 2.1/2 V LED SMT";"";"";" Green/Red 3.2 x 2.7 x 1.1 mm 130° Clear 6 / 2.5 mcd 2.1/2 V LED SMT ";"160-1172-1-ND";"https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C155GEKT/160-1172-1-ND/269244?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"Lite-On Inc.";"LTST-C155GEKT";"1210 Lite-On";"";
"D2";"LTST-C171TBKT";"LTST-C171TBKT";"DIOC200X125X110";"Green 2 x 1.25 x 1.1 mm 130° Water Clear 35 mcd 2 V Surface Mount LED";"";"";" Blue 2 x 1.25 x 0.8 mm 130° Water Clear 30 mcd 3.4 V LED SMT ";"160-1645-1-ND";"https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C171TBKT/160-1645-1-ND/573585?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"Lite-On Inc.";"LTST-C171TBKT";"0805 Lite-On";"";
"D3";"TSHG6410";"TSHG6410";"T1_LED_REAR_MOUNT";"";"";"";"";"";"";"";"";"";"";
"D4";"TSHG6410";"TSHG6410";"T1_LED_REAR_MOUNT";"";"";"";"";"";"";"";"";"";"";
"D5";"TSHG6410";"TSHG6410";"T1_LED_REAR_MOUNT";"";"";"";"";"";"";"";"";"";"";
"D6";"TSHG6410";"TSHG6410";"T1_LED_REAR_MOUNT";"";"";"";"";"";"";"";"";"";"";
"D7";"TSHG6410";"TSHG6410";"T1_LED_REAR_MOUNT";"";"";"";"";"";"";"";"";"";"";
